r[mm], Y_v[-], T_g[K], V_g[mkm/s]
24.159999999999997, 0.09194149287036524, 470.86814267769705, 0.043301724481242296
24.2, 0.09189175772561553, 470.9531481344434, 0.0431650729276666
24.24, 0.09184218372319619, 471.0378776430198, 0.04302906564893838
24.28, 0.09179277008131015, 471.12233254481544, 0.04289369861209675
24.319999999999997, 0.0917435160232084, 471.20651417254203, 0.04275896781559548
24.36, 0.09169442077715029, 471.29042385030107, 0.04262486928901042
24.4, 0.09164548357636237, 471.3740628936548, 0.04249139909275068
24.44, 0.09159670365899908, 471.457432609694, 0.042358553317772406
24.479999999999997, 0.0915480802681028, 471.54053429710757, 0.04222632808529626
24.519999999999996, 0.09149961265156492, 471.62336924624833, 0.04209471954652722
24.56, 0.09145130006208735, 471.70593873920006, 0.04196372388237792
24.599999999999998, 0.09140314175714348, 471.7882440498438, 0.04183333730319475
24.639999999999997, 0.09135513699894093, 471.87028644392467, 0.04170355604848704
24.679999999999996, 0.09130728505438312, 471.9520671791147, 0.041574376386658805
24.72, 0.09125958519503252, 472.03358750507823, 0.04144579461474367
24.759999999999998, 0.09121203669707367, 472.11484866353385, 0.04131780705814246
24.8, 0.09116463884127601, 472.19585188832116, 0.04119041007036379
24.839999999999996, 0.09111739091295856, 472.2765984054595, 0.04106360003276708
24.88, 0.09107029220195306, 472.3570894332106, 0.04093737335430847
24.919999999999998, 0.09102334200256923, 472.43732618214153, 0.040811726471289576
24.96, 0.09097653961355912, 472.51730985518316, 0.0406866558471086
24.999999999999996, 0.0909298843380818, 472.5970416476921, 0.0405621579720143
25.04, 0.09088337548366987, 472.67652274750935, 0.040438229362862496
25.08, 0.09083701236219432, 472.75575433501854, 0.04031486656287501
25.12, 0.09079079428983106, 472.8347375832054, 0.04019206614140129
25.159999999999997, 0.09074472058702665, 472.91347365771617, 0.04006982469368267
25.199999999999996, 0.09069879057846608, 472.99196371691323, 0.03994813884061864
25.24, 0.09065300359303885, 473.0702089119327, 0.03982700522853602
25.279999999999998, 0.0906073589638069, 473.1482103867411, 0.039706420528960354
25.32, 0.09056185602797173, 473.2259692781913, 0.0395863814383898
25.359999999999996, 0.09051649412684293, 473.30348671607635, 0.03946688467807108
25.4, 0.09047127260580567, 473.3807638231847, 0.039347926993778065
25.439999999999998, 0.09042619081428993, 473.4578017153558, 0.039229505155592724
25.48, 0.09038124810573922, 473.5346015015316, 0.039111615957687924
25.519999999999996, 0.09033644383757877, 473.61116428381183, 0.038994256218113
25.56, 0.09029177737118632, 473.68749115750506, 0.03887742277858105
25.599999999999998, 0.09024724807186091, 473.76358321118096, 0.03876111250425884
25.64, 0.0902028553087929, 473.8394415267244, 0.03864532228355874
25.68, 0.09015859845503427, 473.9150671793832, 0.03853004902793255
25.72, 0.09011447688746943, 473.9904612378209, 0.038415289671667824
25.759999999999998, 0.09007048998678557, 474.0656247641682, 0.038301041171686236
25.799999999999997, 0.09002663713744374, 474.1405588140701, 0.038187300507343654
25.84, 0.08998291772765055, 474.21526443673656, 0.038074064680232604
25.879999999999995, 0.08993933114932906, 474.28974267499234, 0.03796133071398685
25.919999999999998, 0.08989587679809119, 474.36399456532445, 0.03784909565408754
25.959999999999997, 0.08985255407320969, 474.43802113793026, 0.03773735656767173
26.0, 0.08980936237759019, 474.5118234167653, 0.03762611054334257
26.039999999999996, 0.08976630111774397, 474.585402419591, 0.03751535469098177
26.08, 0.08972336970376082, 474.65875915802053, 0.03740508614156353
26.119999999999997, 0.08968056754928211, 474.73189463756535, 0.037295302046970735
26.16, 0.08963789407147393, 474.80480985768236, 0.037185999579812806
26.2, 0.08959534869100072, 474.8775058118172, 0.03707717593324543
26.24, 0.08955293083199944, 474.9499834874514, 0.03696882832079219
26.279999999999998, 0.08951063992205299, 475.02224386614625, 0.036860953976167926
26.32, 0.08946847539216474, 475.0942879235863, 0.036753550153103755
26.36, 0.08942643667673333, 475.16611662962487, 0.036646614125174205
26.399999999999995, 0.08938452321352675, 475.2377309483263, 0.03654014318562567
26.439999999999998, 0.08934273444365781, 475.3091318380102, 0.036434134647206906
26.479999999999997, 0.08930106981155916, 475.3803202512927, 0.036328585842001
26.52, 0.08925952876495857, 475.4512971351296, 0.03622349412125912
26.559999999999995, 0.08921811075485464, 475.52206343085936, 0.036118856855236046
26.599999999999998, 0.08917681523549259, 475.59262007424195, 0.03601467143302701
26.639999999999997, 0.08913564166434051, 475.66296799550355, 0.035910935262406574
26.68, 0.08909458950206495, 475.7331081193752, 0.035807645769668814
26.72, 0.08905365821250832, 475.80304136513314, 0.03570480039946911
26.759999999999998, 0.0890128472626649, 475.87276864664, 0.035602396614667686
26.799999999999997, 0.08897215612265774, 475.9422908723841, 0.03550043189617455
26.84, 0.08893158426571612, 476.01160894552004, 0.03539890374279607
26.88, 0.08889113116815262, 476.08072376390464, 0.03529780967108283
26.919999999999998, 0.08885079630934023, 476.14963622014056, 0.035197147215179414
26.959999999999997, 0.08881057917169077, 476.21834720160905, 0.03509691392667517
27.0, 0.08877047924063197, 476.28685759051314, 0.034997107374456854
27.04, 0.08873049600458627, 476.3551682639122, 0.034897725144562526
27.079999999999995, 0.08869062895494861, 476.42328009376115, 0.03479876484003692
